职位,公司名称,薪资,城市,区域,经验要求,学历要求,领域,性质,规模,职位详情页,公司详情页
续保专员,武汉鹏龙华通汽车贸易,6千-1.2万,武汉,洪山区,无需经验,中技/中专,汽车,国企,10000人以上,https://jobs.51job.com/wuhan-hsq/137043230.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coVjNUN1AxUWxVNwNjVTI.html
自动化工程师,云舟生物科技（广州）,1.2-1.8万·13薪,广州,黄埔区,3-4年,本科,制药/生物工程,外资（欧美）,500-1000人,https://jobs.51job.com/guangzhou-hpq/148620400.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coUTJSNgdjADpSM1YzVTU.html
硬件工程师,广州汇信特通信技术,20-30万/年,武汉,东湖新技术产业开发区,3-4年,本科,通信/电信/网络设备,民营,50-150人,https://jobs.51job.com/wuhan-dhxjs/147342659.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coAGQHYVY2DzMPbwBrAmE.html
行政文员,广东三雄光电实业,4-4.5千,肇庆,四会市,2年,高中,电子技术/半导体/集成电路,民营,500-1000人,https://jobs.51job.com/zhaoqing-shs/152330840.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coVjQGagdnDzYFaVYzUDQ.html
高级嵌入式Linux开发工程师,上海良信电器,1.8-3.5万,上海,浦东新区,5-7年,本科,电气/电力/水利,已上市,1000-5000人,https://jobs.51job.com/shanghai-pdxq/150729298.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coBGNSN1c2BDgEaVc8VDY.html
大客户经理,上海索辰信息科技,3-5万,上海,未知,5-7年,本科,计算机软件,已上市,150-500人,https://jobs.51job.com/shanghai/152330799.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coCG0Ha145VGwCZVA7VjY.html
网管软件开发,广州汇信特通信技术,20-30万/年,武汉,东湖新技术产业开发区,3-4年,本科,通信/电信/网络设备,民营,50-150人,https://jobs.51job.com/wuhan-dhxjs/147340501.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coAGQHYVY2DzMPbwBrAmE.html
人事经理,成都润航电子科技,6千-1万·13薪,成都,青羊区,2年,大专,贸易/进出口,民营,少于50人,https://jobs.51job.com/chengdu-qyq/152330647.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coUzNdMVMyVGkObVA3VTU.html
新媒体文案编辑/策划,深圳市易普婴幼儿用品,8千-1.2万·13薪,深圳,宝安区,2年,本科,批发/零售,民营,50-150人,https://jobs.51job.com/shenzhen-baq/152330777.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coVTBWNwJhBD4FZ1E3VDU.html
质量经理,百事食品（中国）,2.5-3.5万,佛山,未知,10年以上,本科,快速消费品(食品、饮料、化妆品),外资（欧美）,500-1000人,http://pepsico.51job.com/details.html?jobid=152330710,http://pepsico.51job.com/
固件工程师,广州汇信特通信技术,20-30万/年,武汉,东湖新技术产业开发区,3-4年,本科,通信/电信/网络设备,民营,50-150人,https://jobs.51job.com/wuhan-dhxjs/147340102.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coAGQHYVY2DzMPbwBrAmE.html
硬件工程师,深圳市迈卓电子,1.8-2万·13薪,深圳,宝安区,2年,大专,贸易/进出口,民营,少于50人,https://jobs.51job.com/shenzhen-baq/152330550.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coBmRRNARjVmpSMVAzVzY.html
物业管家主管（园区）,融创物业服务集团有限公司上海,8千-1万·13薪,苏州,苏州工业园区,3-4年,大专,物业管理/商业中心,民营,1000-5000人,https://jobs.51job.com/suzhou-gyyq/152330546.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coUTNSNFU-BzxVM1Y3VjA.html
研发总监,深圳市京泰防护科技,1.5-3万,深圳,龙华区,5-7年,本科,批发/零售,民营,150-500人,https://jobs.51job.com/shenzhen-lhq/152330194.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coVDAHawVgBz9WNwBrXTo.html
业务跟单,安平县华康医疗用品厂,4-8千,石家庄,桥西区,3-4年,大专,医疗设备/器械,民营,50-150人,https://jobs.51job.com/shijiazhuang-qxq/152330501.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coA2BRMl45DjkDbgZgXTs.html
过程工程师,长春盖尔瑞孚艾斯曼汽车零部件,6千-1万,长春,未知,3-4年,本科,汽车,合资,150-500人,https://jobs.51job.com/changchun/74101128.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coAWUGZl8-BT5VMAJnAGY.html
原料部产品经理（彩妆方向）,上海淼森生物科技,9千-1.5万,上海,徐汇区,3-4年,本科,快速消费品(食品、饮料、化妆品),民营,少于50人,https://jobs.51job.com/shanghai-xhq/144678211.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coUTRXOwRuBT4EZQFhVzI.html
聚氨酯研发,深圳市宏进科技,2-4万,深圳,龙岗区,5-7年,本科,石油/化工/矿产/地质,民营,50-150人,https://jobs.51job.com/shenzhen-lgq/140692829.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coVDRUOF84BDoEaQVvAmY.html
运动规划 自主导航 控制算法专家,深圳市华赛睿飞智能科技,3.5-7万·14薪,深圳,南山区,无需经验,硕士,电子技术/半导体/集成电路,外资（非欧美）,50-150人,https://jobs.51job.com/shenzhen-nsq/152275089.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coAGBTMFExADxVOAJnVjs.html
采购工程师,长春盖尔瑞孚艾斯曼汽车零部件,5-7千,长春,未知,3-4年,本科,汽车,合资,150-500人,https://jobs.51job.com/changchun/98805945.html?s=sou_sou_soulb&t=0_0&req=7ec45d04981edae2388ab496816c7ce4,https://jobs.51job.com/all/coAWUGZl8-BT5VMAJnAGY.html
仓库管理员,巨力精密设备制造（东莞）,5.5-6.5千,东莞,长安镇,1年,中技/中专,机械/设备/重工,外资（非欧美）,150-500人,https://jobs.51job.com/dongguan-caz/151127890.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coAmZWMFM0DjcPbwNhB2A.html
销售（建筑咨询）,上海荣天商务咨询,10-20万/年,上海,黄浦区,1年,大专,专业服务(咨询、人力资源、财会),民营,50-150人,https://jobs.51job.com/shanghai-hpq/152033463.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coBmUGZwNiADwDYwJmUDw.html
BD经理,上海领康时代生物技术,1.5-3万·13薪,上海,奉贤区,3-4年,本科,制药/生物工程,民营,50-150人,https://jobs.51job.com/shanghai-fxq/146385480.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coBWVQPF84UmsPbQJnVTQ.html
网管,珉钧集装箱服务（上海）,8千-1万·13薪,上海,浦东新区,1年,大专,交通/运输/物流,外资（非欧美）,150-500人,https://jobs.51job.com/shanghai-pdxq/149571162.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coBmJRNAJpDzcCY1E1AmQ.html
销售助理/销售跟单/客服专员/英文客服,上海法司特汽车租赁,7千-1万·13薪,上海,静安区,2年,大专,交通/运输/物流,民营,150-500人,https://jobs.51job.com/shanghai-jaq/148865621.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coAGQBZ148DjEBZFcxXTg.html
高级绩效经理,苏州晟域汽车零部件,1-1.5万,常熟,未知,5-7年,本科,汽车零配件,民营,,https://jobs.51job.com/changshu/152328101.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coCWhXOl44UWxRNVc3B2M.html
区域销售经理,云南大腾生物科技,20-40万/年,昆明,五华区,2年,本科,制药/生物工程,民营,50-150人,https://jobs.51job.com/kunming-whq/111675316.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coB2IHYVExAT1UMFYxVzU.html
行政专员（工作地点在丽水）,杭州中欣晶圆半导体,6-8千·14薪,丽水,未知,无需经验,本科,电子技术/半导体/集成电路,合资,1000-5000人,https://jobs.51job.com/lishui/135661465.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coVjRUN1Q2Bj5RMAVhUz4.html
"Client Solutions Officer, ATM support",渣打环球商业服务（广州）,6-8千,广州,未知,1年,本科,金融/投资/证券,外资（欧美）,10000人以上,https://jobs.51job.com/guangzhou/152328527.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coBWVUMlI4VmxRM1AwXD0.html
仓库管理员,武汉大和医药,3-4.5千,武汉,未知,1年,中技/中专,批发/零售,民营,150-500人,https://jobs.51job.com/wuhan/145659064.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coUTVWN186DzEBYwFhAGQ.html
事务文员,东海橡塑（嘉兴）,4-5千·14薪,嘉兴,未知,1年,本科,汽车,外资（非欧美）,1000-5000人,https://jobs.51job.com/jiaxing/152303876.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coUjZcPF89AzpVMFMwUzM.html
销售内勤,四川金来缘科技,4.5-8千,成都,金牛区,1年,高中,原材料和加工,民营,少于50人,https://jobs.51job.com/chengdu-jnq/152193987.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coBmcCZV84DjIPYwBrB2Y.html
OA实施顾问,无锡思领软件,5-8千,无锡,新吴区,1年,大专,计算机软件,民营,少于50人,https://jobs.51job.com/wuxi-xwq/152120726.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coBWBXO1AxVG9WNFc3BmE.html
阿里巴巴国际站运营,义乌市聚凯企业管理合伙企业（有限合伙）,8千-1.2万,义乌,未知,2年,大专,服装/纺织/皮革,民营,50-150人,https://jobs.51job.com/yiwu/150625610.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coAWAFZQJgDzYBYwxvBWc.html
销售助理/客服专员,正和源检测技术（上海）,6-8千·13薪,上海,嘉定区,1年,本科,检测，认证,民营,50-150人,https://jobs.51job.com/shanghai-jdq/152329694.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coB2ZVN1E3VGsHZA1vBWc.html
精切操作工,慈溪市宜美佳铝业,6-9千,宁波,慈溪市,无需经验,,汽车零配件,民营,500-1000人,https://jobs.51job.com/ningbo-cxs/149980181.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coA2IAZwRiUW5WMFQ3UDA.html
环保工程师,南京惠恩环保科技,8千-1.5万,苏州,吴中区,3-4年,本科,环保,民营,少于50人,https://jobs.51job.com/suzhou-wzq/137988801.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coA2NTPlU1DjNTMgdtUT0.html
销售内勤,浙江珍琦护理用品,6-7千,杭州,富阳区,3-4年,大专,快速消费品(食品、饮料、化妆品),合资,150-500人,https://jobs.51job.com/hangzhou-fyq/152329604.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coB2NdMVAwVG8AZQxvBmY.html
质量工程师,武汉莱恩士科技,6.5千-1.3万·13薪,武汉,江夏区,3-4年,本科,电子技术/半导体/集成电路,民营,少于50人,https://jobs.51job.com/wuhan-jxq/152329591.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coAWEBbVA1UW1WMgFrVjE.html
财务主办会计,上海铮峰实业,0.8-1万,上海,静安区,3-4年,本科,批发/零售,民营,50-150人,https://jobs.51job.com/shanghai-jaq/133468516.html?s=sou_sou_soulb&t=0_0&req=537d27fc1f5d243396c9b76be2ea46f5,https://jobs.51job.com/all/coB2JXOgJkDzEDbgJgB2M.html
市场部代理,青岛钟根堂健康有限公司上海长宁区,1.5-2万,上海,长宁区,3-4年,本科,批发/零售,外资（非欧美）,50-150人,https://jobs.51job.com/shanghai-cnq/152322720.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coCGhdPAJgAjoDY1Y2AmM.html
财务主管,深圳市东莱尔智能科技,1-2万,深圳,光明区,3-4年,大专,新能源,民营,50-150人,https://jobs.51job.com/shenzhen-gmq/139496537.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coB2dWNwNlAD9VOQZtB2Y.html
业务代表,广州群翌能源,1.5-2万,广州,黄埔区,无需经验,本科,新能源,外资（非欧美）,少于50人,https://jobs.51job.com/guangzhou-hpq/121152170.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coAmEBbQNhADdUM1Y2UzA.html
生物质气化炉销售,东莞东燃热能科技,20-40万/年,东莞,望牛墩镇,1年,高中,环保,民营,50-150人,https://jobs.51job.com/dongguan-wndz/151855280.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coUTJcPlcxU2RWOwRlVTc.html
机械设计工程师（非标自动化）,南京大齐自动化,1-1.5万,南京,江宁区,2年,大专,仪器仪表/工业自动化,民营,少于50人,https://jobs.51job.com/nanjing-jnq/148461827.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coVTYCZVAzVGMHZAFiUDI.html
雷达销售经理,巍泰技术（武汉）,8千-1万,武汉,江夏区,1年,本科,电子技术/半导体/集成电路,民营,少于50人,https://jobs.51job.com/wuhan-jxq/145131438.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coUjMHZlMyVGIDbwNiXTo.html
銷售工程師,广州群翌能源,9千-1.2万·14薪,广州,黄埔区,3-4年,大专,新能源,外资（非欧美）,少于50人,https://jobs.51job.com/guangzhou-hpq/149092204.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coAmEBbQNhADdUM1Y2UzA.html
外贸业务员,广州雷恒金属制品,8千-1.5万,广州,番禺区,3-4年,大专,贸易/进出口,外资（非欧美）,少于50人,https://jobs.51job.com/guangzhou-pyq/134739852.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coVjdTNgBiAj8PawNo.html
PLC自动化工程师,上海优控科技,1.3-2.5万,上海,未知,1年,本科,计算机软件,民营,少于50人,https://jobs.51job.com/shanghai/107631068.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coVDMCbwVuBz8EZw1oBWg.html
化妆品销售总监,广州市赛妃生物科技,1.2-2万,广州,白云区,5-7年,大专,快速消费品(食品、饮料、化妆品),民营,少于50人,https://jobs.51job.com/guangzhou-byq/146966674.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coVTYGZVI5VWIHZgdkUTI.html
销售（周末双休）,上海汇海信息科技,1-1.8万,南京,雨花台区,1年,大专,通信/电信/网络设备,民营,150-500人,https://jobs.51job.com/nanjing-yhtq/152322614.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coB2QGY1U_VG0BYANpBWM.html
药厂工艺员（偏文件）,艾伟拓（上海）医药科技,6千-1万·14薪,南通,启东市,1年,本科,制药/生物工程,民营,少于50人,https://jobs.51job.com/nantong-qds/151876277.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coUzdTNFc9UW4DZQxoUjc.html
铣床,深圳市俊杰诚科技,6.5-7.5千,深圳,宝安区,1年,中技/中专,电子技术/半导体/集成电路,民营,50-150人,https://jobs.51job.com/shenzhen-baq/148459731.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coCWpVNFI4BD9UNAVkVzU.html
厂务工程师（二次配）（合肥）,颀中科技（苏州）,6千-1万·15薪,合肥,新站区,5-7年,本科,电子技术/半导体/集成电路,合资,1000-5000人,https://jobs.51job.com/hefei-xzq/152322594.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coVDBVOVU1AT4BYFc3UDA.html
工厂经理/厂长,中亿丰数字科技集团,30-50万/年,苏州,相城区,8-9年,本科,计算机服务(系统、数据服务、维修),民营,150-500人,https://jobs.51job.com/suzhou-xcq/152322617.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coVjVdMVQxVG5RNgxtUDU.html
轨道机车销售,湘潭牵引机车厂,8千-1万,湘潭,未知,3-4年,中技/中专,机械/设备/重工,民营,150-500人,https://jobs.51job.com/xiangtan/151531248.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coBWYGYgNhBToObAJnUjY.html
新材料产业研究员,亨通集团,1.8-2.5万,苏州,未知,3-4年,本科,多元化业务集团公司,民营,10000人以上,https://jobs.51job.com/suzhou/152322585.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coAmYAZFQ2Um5SNVc0Bms.html
机械设计技术员,宁波三安制阀,0.8-1万,宁波,鄞州区,1年,大专,机械/设备/重工,民营,150-500人,https://jobs.51job.com/ningbo-yzq/138869833.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coBGRRPVc8BDMOaQBmB2M.html
辅助工,胡赫（青岛）换热水箱,4-5千,青岛,城阳区,3-4年,中技/中专,机械/设备/重工,合资,50-150人,https://jobs.51job.com/qingdao-cyq/144158346.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coVTFTM1YwAzsDYVQzUjE.html
沃龙服务顾问,宁波帝豪汽车销售服务,6千-1.2万,宁波,江北区,无需经验,,汽车,民营,150-500人,https://jobs.51job.com/ningbo-jbq/151665038.html?s=sou_sou_soulb&t=0_0&req=c50f68358f2c836080d124362492bd81,https://jobs.51job.com/all/coA2BRN1M2BTwAZVM2UjU.html
